Query,Model,P@5,nDCG@10,MRR
Q1,BM25,0.2,0.708225354913938,0.2
Q1,Dense,0.0,0.5158099476966724,0.16666666666666666
Q1,Hybrid,0.2,0.6327956142231189,0.2
Q2,BM25,0.4,0.8284089149219377,0.5
Q2,Dense,0.0,0.3937288153431494,0.16666666666666666
Q2,Hybrid,0.2,0.7232338316640191,1.0
Q3,BM25,1.0,1.0,1.0
Q3,Dense,1.0,1.0,1.0
Q3,Hybrid,1.0,1.0,1.0
Q4,BM25,0.8,0.9568322898071794,1.0
Q4,Dense,1.0,0.9496300895806468,1.0
Q4,Hybrid,0.8,0.9568322898071794,1.0
Q5,BM25,0.6,0.7579049738483362,1.0
Q5,Dense,1.0,0.9401151668869261,1.0
Q5,Hybrid,0.6,0.8163978071115594,1.0
Q6,BM25,1.0,0.9270563387284846,1.0
Q6,Dense,0.8,0.8802303337738524,1.0
Q6,Hybrid,0.8,0.8802303337738524,1.0
Q7,BM25,1.0,1.0,1.0
Q7,Dense,0.0,0.3937288153431494,0.1111111111111111
Q7,Hybrid,1.0,1.0,1.0
Q8,BM25,0.6,0.8284089149219377,0.5
Q8,Dense,1.0,1.0,1.0
Q8,Hybrid,0.8,0.9081989035557796,1.0
Q9,BM25,1.0,1.0,1.0
Q9,Dense,1.0,1.0,1.0
Q9,Hybrid,1.0,1.0,1.0
Q10,BM25,0.2,0.7232338316640191,0.5
Q10,Dense,0.2,0.3937288153431494,0.2
Q10,Hybrid,0.6,0.7811690161854535,1.0
